編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-03-13,21:58,北緯 23.47 ° 東經 121.88 °, 23.47 , 121.88 ,花蓮縣政府南南東方  63.4  公里 ,2級,4.0,29.6
,2023-03-13,21:04,北緯 23.95 ° 東經 121.48 °, 23.95 , 121.48 ,花蓮縣政府西南西方  15.3  公里 ,3級,4.0,18.8
,2023-03-13,19:05,北緯 24.5 ° 東經 121.93 °, 24.5 , 121.93 ,宜蘭縣政府東南方  30.7  公里 ,2級,3.4,13.7
,2023-03-13,14:38,北緯 23.14 ° 東經 120.65 °, 23.14 , 120.65 ,高雄市政府北北東方  66.6  公里 ,2級,3.5,9.3
,2023-03-13,09:41,北緯 23.09 ° 東經 121.16 °, 23.09 , 121.16 ,臺東縣政府北方  37.5  公里 ,2級,3.7,13.6
,2023-03-13,08:11,北緯 24.81 ° 東經 121.99 °, 24.81 , 121.99 ,宜蘭縣政府東北東方  24.1  公里 ,3級,4.3,6.3
,2023-03-13,05:19,北緯 24.81 ° 東經 121.99 °, 24.81 , 121.99 ,宜蘭縣政府東北東方  24.2  公里 ,2級,3.7,6.2
,2023-03-11,21:17,北緯 23.65 ° 東經 121.57 °, 23.65 , 121.57 ,花蓮縣政府南方  38.2  公里 ,2級,4.4,31.3
,2023-03-11,09:16,北緯 23.78 ° 東經 121.46 °, 23.78 , 121.46 ,花蓮縣政府西南方  28.3  公里 ,3級,3.7,10.6
,2023-03-11,04:21,北緯 24.07 ° 東經 120.97 °, 24.07 , 120.97 ,南投縣政府東北東方  34.4  公里 ,2級,3.4,24.3
,2023-03-10,03:45,北緯 23.46 ° 東經 121.55 °, 23.46 , 121.55 ,花蓮縣政府南方  59.3  公里 ,2級,4.2,34.7
,2023-03-09,17:38,北緯 23.74 ° 東經 121.71 °, 23.74 , 121.71 ,花蓮縣政府南南東方  29.1  公里 ,2級,4.1,46.6
017   ,2023-03-06,22:34,北緯 24.53 ° 東經 121.84 °, 24.53 , 121.84 ,宜蘭縣政府南南東方  23.3  公里 ,3級,4.1,10.5
,2023-03-06,21:27,北緯 24 ° 東經 121.75 °, 24 , 121.75 ,花蓮縣政府東方  13.4  公里 ,2級,3.8,7.8
